prefixed_root,prefixes,unprefixed_root,hom
akzilakzIkf,akzilakzI,kf,1
agocarIkf,agocarI,kf,1
agraRIkf,agraRI,kf,1
aNgArasAtkf,aNgArasAt,kf,1
atiTIkf,atiTI,kf,1
atiTIBU,atiTI,BU,1
atinizwan,ati-nis,tan,1
atinI,ati,nI,2
atiparI,ati-pari,i,5
atipA,ati,pA,1
atipU,ati,pU,1
atipF,ati,pF,
atipravA,ati-pra,vA,2
atipraSru,ati-pra,Sru,1
atiprasad,ati-pra,sad,2
atiprahA,ati-pra,hA,2
atiBU,ati,BU,1
atiBf,ati,Bf,1
ativA,ati,vA,2
ativiDA,ati-vi,DA,1
atiSi,ati,Si,1
atizkand,ati,skand,
atizwu,ati,stu,1
atizWA,ati,sTA,1
atihve,ati,hve,
atI,ati,i,5
atyAyat,ati-A,yat,2
atyudDA,ati-ud,hA,2
aDikf,aDi,kf,1
aDikf,aDi,kf,1
aDigam,aDi,gam,1
aDigA,aDi,gA,1
aDidiS,aDi,diS,1
aDiDA,aDi,DA,1
aDiDf,aDi,Df,
aDinam,aDi,nam,
aDinizad,aDi-ni,sad,2
aDiyat,aDi,yat,2
aDiyam,aDi,yam,
aDiruh,aDi,ruh,1
aDiluW,aDi,luW,1
aDivap,aDi,vap,2
aDivas,aDi,vas,4
aDivikram,aDi-vi,kram,
aDivid,aDi,vid,3
aDivfj,aDi,vfj,1
aDivfD,aDi,vfD,
aDizu,aDi,su,1
aDizkand,aDi,skand,
aDizWA,aDi,sTA,1
aDizvan,aDi,svan,1
aDI,aDi,i,5
aDIz,aDi,iz,1
aDyavaso,aDi-ava,so,1
aDyAs,aDi,As,2
aDyutTA,aDi-ud,sTA,1
aDyudDf,aDi-ud,hf,1
aDyupekz,aDi-upa-A,Ikz,
anukamp,anu,kamp,
anukfp,anu,kfp,2
anukrand,anu,krand,
anugam,anu,gam,1
anucakz,anu,cakz,
anuci,anu,ci,2
anucCid,anu,Cid,
anucCo,anu,Co,
anujan,anu,jan,
anujalp,anu,jalp,
anuDanv,anu,Danv,
anuDI,anu,DI,1
anuDvaMs,anu,DvaMs,
anunad,anu,nad,
anunam,anu,nam,
anuparI,anu-pari,i,5
anupare,anu-parA,i,5
anuparye,anu-pari-A,i,5
anupaS,anu,paS,3
anupA,anu,pA,1
anupU,anu,pU,1
anupratizWA,anu-prati,sTA,1
anupraT,anu,praT,1
anuprapA,anu-pra,pA,1
anuprAp,anu-prA,Ap,1
anuprAs,anu-prA,as,1
anupre,anu-prA,i,5
anuprekz,anu-pra,Ikz,
anuprez,anu-prA,iz,1
anuproh,anu-prA,Uh,1
anubrU,anu,brU,
anuman,anu,man,
anuyat,anu,yat,2
anuyam,anu,yam,
anuraYj,anu,raYj,
anuram,anu,ram,
anuriz,anu,riz,1
anurI,anu,rI,1
anuruc,anu,ruc,1
anuruD,anu,ruD,1
anuruh,anu,ruh,1
anulip,anu,lip,
anuvad,anu,vad,
anuvap,anu,vap,2
anuvA,anu,vA,2
anuvikram,anu-vi,kram,
anuvid,anu,vid,1
anuvid,anu,vid,3
anuvinad,anu-vi,nad,
anuvilok,anu-vi,lok,
anuvivft,anu-vi,vft,1
anuvizic,anu-vi,sic,1
anuvizWA,anu-vi,sTA,1
anuvizyand,anu-vi,syand,
anuvI,anu-vi,i,5
anuvIkz,anu-vi,Ikz,
anuvf,anu,vf,1
anuvft,anu,vft,1
anuvezw,anu,vezw,
anuvyaD,anu,vyaD,
anuvyavagA,anu-vi-ava,gA,1
anuvyave,anu-vi-ava-A,i,5
anuSak,anu,Sak,
anuSI,anu,SI,1
anuSuc,anu,Suc,1
anuSraT,anu,SraT,
anuSru,anu,Sru,1
anuzac,anu,sac,1
anuzaYj,anu,saYj,1
anuzic,anu,sic,1
anuziD,anu,siD,1
anuzwu,anu,stu,1
anuzwuB,anu,stuB,1
anuzWA,anu,sTA,1
anuzyand,anu,syand,
anusaMKyA,anu-sam,KyA,
anusaMcar,anu-sam,car,
anusaMraB,anu-sam,raB,
anusaMsf,anu-sam,sf,
anusaMsTA,anu-sam,sTA,1
anusamAp,anu-sam,Ap,1
anusamAraB,anu-sam-A,raB,
anusami,anu-sam,i,5
anusamprAp,anu-sam-prA,Ap,1
anusf,anu,sf,
anusfj,anu,sfj,1
anusmf,anu,smf,2
anuhA,anu,hA,2
anuhf,anu,hf,1
anUkz,anu,ukz,1
anUjji,anu-ud,ji,1
anUd,anu,ud,2
anUde,anu-ud-A,i,5
anUdDA,anu-ud,hA,2
anUdDf,anu-ud,hf,1
anUnnI,anu-ud,nI,2
anUpaDA,anu-upa,DA,1
anUpasTA,anu-upa,sTA,1
antarADA,antar-A,DA,1
antarIkf,antarI,kf,1
antarupAtI,antar-upa-ati,i,5
antarDA,antar,DA,1
anvat,anu,at,2
anvatI,anu-ati,i,5
anvaBizic,anu-aBi,sic,1
anvavArj,anu-ava-A,arj,
anvavAs,anu-ava-A,as,1
anvave,anu-ava-A,i,5
anvavekz,anu-ava-A,Ikz,
anvAkram,anu-A,kram,
anvAdA,anu-A,dA,1
anvADA,anu-A,DA,1
anvABaj,anu-A,Baj,
anvAhiRq,anu-A,hiRq,
anviz,anu,iz,3
anvf,anu,f,4
anvfD,anu,fD,
anve,anu-A,i,5
apakft,apa,kft,2
apakfz,apa,kfz,1
apakF,apa,kF,1
apaguh,apa,guh,1
apacit,apa,cit,4
apacCad,apa,Cad,1
apacCid,apa,Cid,
apacyu,apa,cyu,1
apanilI,apa-ni,lI,1
apapare,apa-parA,i,5
apapruT,apa,pruT,
apapre,apa-prA,i,5
apabAD,apa,bAD,
apaBaj,apa,Baj,
apamfj,apa,mfj,1
apame,apa,me,1
apayuj,apa,yuj,1
apalap,apa,lap,1
apavad,apa,vad,
apavic,apa,vic,
apavf,apa,vf,1
apavfj,apa,vfj,1
apavft,apa,vft,1
apavye,apa,vye,
apaSvas,apa,Svas,1
apasac,apa,sac,1
apaspf,apa,spf,1
apahA,apa,hA,2
apahA,apa,hA,3
apahnu,apa,hnu,
apAdA,apa-A,dA,1
apAr,apa,f,4
apArC,apa,fC,
apAvft,apa-A,vft,1
apASri,apa-A,Sri,1
apAhf,apa-A,hf,1
apiGas,api,Gas,
apibanD,api,banD,
apimfz,api,mfz,1
apivf,api,vf,1
apivye,api,vye,
apiSF,api,SF,
apizWA,api,sTA,1
apisfj,api,sfj,1
apihve,api,hve,
ape,apa-A,i,5
apocCad,apa-ud,Cad,1
apotkfz,apa-ud,kfz,1
apodi,apa-ud,i,5
aporRu,apa-A,UrRu,
apoh,apa-A,Uh,1
apyas,api,as,2
aBikxp,aBi,kxp,
aBikzip,aBi,kzip,1
aBigAh,aBi,gAh,
aBicCad,aBi,Cad,1
aBijan,aBi,jan,
aBitan,aBi,tan,1
aBitF,aBi,tF,
aBiduh,aBi,duh,1
aBiDanv,aBi,Danv,
aBiDA,aBi,DA,1
aBiDI,aBi,DI,1
aBinakz,aBi,nakz,
aBinard,aBi,nard,
aBiniDA,aBi-ni,DA,1
aBinirmi,aBi-nis,mi,1
aBinizad,aBi-ni,sad,2
aBinI,aBi-ni,i,5
aBinu,aBi,nu,3
aBinu,aBi,nu,4
aBiparizvaYj,aBi-pari,svaYj,
aBiparihf,aBi-pari,hf,1
aBipare,aBi-parA,i,5
aBiparyAvft,aBi-pari-A,vft,1
aBiparye,aBi-pari-A,i,5
aBipale,aBi-parA,i,5
aBipA,aBi,pA,1
aBipiS,aBi,piS,1
aBipyE,aBi,pyE,
aBiprakram,aBipra,kram,
aBipracyu,aBipra,cyu,1
aBiprajan,aBipra,jan,
aBipratipad,aBi-prati,pad,1
aBipratyave,aBi-prati-ava-A,i,5
aBipratye,aBi-prati-A,i,5
aBipraT,aBi,praT,1
aBipradru,aBipra,dru,2
aBiprabuD,aBipra,buD,
aBipraman,aBipra,man,
aBipramand,aBipra,mand,1
aBipravft,aBipra,vft,1
aBiprasf,aBipra,sf,
aBiprAp,aBipra,Ap,1
aBiprArc,aBipra,arc,1
aBiprArT,aBipra,arT,
aBiprAs,aBipra,as,1
aBipre,aBipra,i,5
aBiprekz,aBipra,Ikz,
aBiprer,aBipra,Ir,
aBiprez,aBipra,iz,1
aBiBuj,aBi,Buj,3
aBimantr,aBi,mantr,
aBimand,aBi,mand,1
aBimuc,aBi,muc,1
aBimf,aBi,mf,
aBimfkz,aBi,mfkz,
aBimfS,aBi,mfS,1
aBiyaj,aBi,yaj,1
aBiyuj,aBi,yuj,1
aBirakz,aBi,rakz,1
aBiraYj,aBi,raYj,
aBiraB,aBi,raB,
aBiruc,aBi,ruc,1
aBilaB,aBi,laB,
aBivad,aBi,vad,
aBivand,aBi,vand,
aBivaS,aBi,vaS,
aBivicar,aBi-vi,car,
aBivij,aBi,vij,1
aBivitan,aBi-vi,tan,1
aBivid,aBi,vid,3
aBiviBaj,aBi-vi,Baj,
aBiviruc,aBi-vi,ruc,1
aBivivas,aBi-vi,vas,2
aBivizaYj,aBi-vi,saYj,1
aBivizWA,aBi-vi,sTA,1
aBivizyand,aBi-vi,syand,
aBivisfj,aBi-vi,sfj,1
aBivI,aBi-vi,i,5
aBivIkz,aBi-vi,Ikz,
aBivft,aBi,vft,1
aBivfD,aBi,vfD,
aBivfz,aBi,vfz,
aBivyaD,aBi,vyaD,
aBivye,aBi,vye,
aBiSaNk,aBi,SaNk,
aBiSap,aBi,Sap,3
aBiSI,aBi,SI,3
aBiSuB,aBi,SuB,1
aBiScut,aBi,Scut,1
aBizac,aBi,sac,1
aBizaYj,aBi,saYj,1
aBizad,aBi,sad,2
aBizah,aBi,sah,1
aBizic,aBi,sic,1
aBiziv,aBi,siv,
aBizu,aBi,su,1
aBizU,aBi,sU,1
aBizUd,aBi,sUd,1
aBizo,aBi,so,1
aBizwan,aBi,stan,
aBizwamB,aBi,stamB,
aBizwu,aBi,stu,1
aBizwuB,aBi,stuB,1
aBizWA,aBi,sTA,1
aBizyand,aBi,syand,
aBizvaYj,aBi,svaYj,
aBisaMgam,aBi-sam,gam,1
aBisaMci,aBi-sam,ci,1
aBisaMnah,aBi-sam,nah,1
aBisaMnu,aBi-sam,nu,4
aBisaMraB,aBi-sam,raB,
aBisaMvas,aBi-sam,vas,4
aBisaMvas,aBi-sam,vas,5
aBisaMvid,aBi-sam,vid,3
aBisaMviS,aBi-sam,viS,
aBisaMvIkz,aBi-sam-vi,Ikz,
aBisaMvft,aBi-sam,vft,1
aBisaMSri,aBi-sam,Sri,1
aBisaMskf,aBisaMs,kf,1
aBisaMsvaYj,aBi-sam,svaYj,
aBisatkf,aBi-sat,kf,1
aBisap,aBi,sap,1
aBisamApad,aBi-sam-A,pad,1
aBisamf,aBi-sam,f,4
aBisame,aBi-sam-A,i,5
aBisamprekz,aBi-sam-prA,Ikz,
aBihary,aBi,hary,
aBI,aBi,i,5
aBIkz,aBi,Ikz,
aByaj,aBi,aj,
aByaYj,aBi,aYj,
aByativad,aBi-ati,vad,
aByatI,aBi-ati,i,5
aByanuvad,aBi-anu,vad,
aByapaSri,aBi-apa,Sri,1
aByapAn,aBi-apa-A,an,2
aByarc,aBi,arc,1
aByarT,aBi,arT,
aByavanij,aBi-ava,nij,
aByavavft,aBi-ava,vft,1
aByavAs,aBi-ava-A,as,1
aByave,aBi-ava-A,i,5
aByavekz,aBi-ava,Ikz,
aByas,aBi,as,2
aByAj,aBi-A,aj,
aByAtan,aBi-A,tan,1
aByAdA,aBi-A,dA,1
aByAp,aBi,Ap,1
aByAyam,aBi-A,yam,
aByAyu,aBi-A,yu,2
aByAraB,aBi-A,raB,
aByAviS,aBi-A,viS,
aByAvft,aBi-A,vft,1
aByAhan,aBi-A,han,1
aByukz,aBi,ukz,1
aByutkram,aBi-ud,kram,
aByutTA,aBi-ud,sTA,1
aByudIkz,aBi-ud,Ikz,
aByude,aBi-ud-A,i,5
aByudDA,aBi-ud,hA,2
aByudDf,aBi-ud,hf,1
aByupaDA,aBi-upa,DA,1
aByupapad,aBi-upa,pad,1
aByupAvft,aBi-upa-A,vft,1
aByupe,aBi-upa-A,i,5
aByupekz,aBi-upa,Ikz,
aByUrRu,aBi,UrRu,
aByUh,aBi,Uh,2
aByfYj,aBi,fYj,1
aBye,aBi-A,i,5
avakAS,ava,kAS,
avakfz,ava,kfz,1
avakF,ava,kF,1
avakrI,ava,krI,1
avakrIq,ava,krIq,
avagam,ava,gam,1
avagF,ava,gF,1
avacakz,ava,cakz,
avacCad,ava,Cad,1
avacCid,ava,Cid,
avacCo,ava,Co,
avajfmB,ava,jfmB,
avatan,ava,tan,1
avatF,ava,tF,
avadih,ava,dih,1
avaduh,ava,duh,1
avado,ava,do,
avaDA,ava,DA,1
avaDU,ava,DU,1
avaDvaMs,ava,DvaMs,
avanam,ava,nam,
avanij,ava,nij,
avanu,ava,nu,3
avapad,ava,pad,1
avapaS,ava,paS,3
avaplu,ava,plu,
avabanD,ava,banD,
avabAD,ava,bAD,
avabuD,ava,buD,
avaBAs,ava,BAs,1
avaBf,ava,Bf,1
avaman,ava,man,
avamuc,ava,muc,1
avamfj,ava,mfj,1
avayaj,ava,yaj,1
avaruD,ava,ruD,1
avaruh,ava,ruh,1
avalamb,ava,lamb,1
avalip,ava,lip,
avalih,ava,lih,1
avalI,ava,lI,1
avalup,ava,lup,1
avalok,ava,lok,
avaSI,ava,SI,1
avaSfD,ava,SfD,
avasaYj,ava,saYj,1
avasad,ava,sad,2
avasfj,ava,sfj,1
avaskF,ava-s,kF,1
avastF,ava,stF,1
avasTA,ava,sTA,1
avasmi,ava,smi,
avasyand,ava,syand,
avasraMs,ava,sraMs,1
avahan,ava,han,1
avahf,ava,hf,1
avahve,ava,hve,
avAloc,ava-A,loc,
ave,ava-A,i,5
avekz,ava,Ikz,
Akac,A,kac,
Akamp,A,kamp,
AkANkz,A,kANkz,
AkU,A,kU,1
Akf,A,kf,1
Akrand,A,krand,
Akram,A,kram,
AkrIq,A,krIq,
Akzi,A,kzi,1
AKAd,A,KAd,
AKid,A,Kid,
AKyA,A,KyA,
Agam,A,gam,1
Agur,A,gur,
AgE,A,gE,
AgranT,A,granT,1
Agrah,A,grah,
AGuz,A,Guz,1
AGrA,A,GrA,
Ac,A,ac,1
Acakz,A,cakz,
Aci,A,ci,1
Acit,A,cit,4
Acyu,A,cyu,1
Aj,A,aj,
Ajan,A,jan,
AjIv,A,jIv,
AYc,A,aYc,1
AYj,A,aYj,
AtaMs,A,taMs,
Atan,A,tan,1
Atam,A,tam,
Atfd,A,tfd,
Atfp,A,tfp,1
AtF,A,tF,
AdaG,A,daG,
AdaB,A,daB,
AdA,A,dA,1
AdA,A,dA,4
AdiS,A,diS,1
AdIp,A,dIp,
Adu,A,du,1
Aduh,A,duh,1
Adf,A,df,
AdF,A,dF,
AdE,A,dE,
Ado,A,do,
Adyut,A,dyut,2
Adru,A,dru,1
ADA,A,DA,1
ADAv,A,DAv,1
ADI,A,DI,1
ADU,A,DU,1
ADf,A,Df,
ADfz,A,Dfz,
ADmA,A,DmA,
ADyE,A,DyE,
Anad,A,nad,
Anand,A,nand,
Anam,A,nam,
Anah,A,nah,1
AnI,A,nI,2
Anu,A,nu,4
Anft,A,nft,1
Ap,A,Ap,1
Apat,A,pat,1
Apad,A,pad,1
Apan,A,pan,2
ApaS,A,paS,3
ApA,A,pA,1
ApiS,A,piS,1
Apiz,A,piz,
ApU,A,pU,1
ApUy,A,pUy,
Apf,A,pf,1
Apf,A,pf,2
Apfc,A,pfc,1
ApF,A,pF,
ApyE,A,pyE,
ApraC,A,praC,
ApratI,A-prati,i,5
Aprayam,A-pra,yam,
AprA,A,prA,1
AprI,A,prI,1
Apru,A,pru,
Aplu,A,plu,
AbanD,A,banD,
AbAD,A,bAD,
AbuD,A,buD,
Abfh,A,bfh,1
AbrU,A,brU,
ABaj,A,Baj,
ABA,A,BA,1
ABAz,A,BAz,1
ABAs,A,BAs,1
ABuj,A,Buj,1
ABUz,A,BUz,
ABf,A,Bf,1
AmaT,A,maT,1
Aman,A,man,
Amantr,A,mantr,
Amah,A,mah,1
AmA,A,mA,2
AmI,A,mI,1
AmIl,A,mIl,
AmIv,A,mIv,1
Amuc,A,muc,1
Amuz,A,muz,1
Amfj,A,mfj,1
Amfd,A,mfd,1
AmfS,A,mfS,1
Amfz,A,mfz,1
AmnA,A,mnA,
Amyakz,A,myakz,
Amreq,A,mreq,
Ayaj,A,yaj,1
Ayat,A,yat,2
Ayam,A,yam,
Ayas,A,yas,
AyA,A,yA,1
AyAc,A,yAc,
Ayu,A,yu,2
Ayuj,A,yuj,1
AyuD,A,yuD,1
Ayup,A,yup,
Arakz,A,rakz,1
Araw,A,raw,
Arap,A,rap,
AraB,A,raB,
Aram,A,ram,
Aras,A,ras,1
ArAD,A,rAD,
Aric,A,ric,
AriP,A,riP,
AriS,A,riS,
Arih,A,rih,
ArI,A,rI,1
Aru,A,ru,1
Aruc,A,ruc,1
Aruj,A,ruj,1
AruD,A,ruD,2
Aruh,A,ruh,1
Alakz,A,lakz,
Alag,A,lag,
AlaB,A,laB,
Alamb,A,lamb,1
Alaz,A,laz,
AliK,A,liK,
AliNg,A,liNg,
Alip,A,lip,
Alih,A,lih,1
AlI,A,lI,1
AluYc,A,luYc,
Aluq,A,luq,
Alup,A,lup,1
AluB,A,luB,
AlU,A,lU,1
Alok,A,lok,
Aloc,A,loc,
Avac,A,vac,
Avad,A,vad,
Avan,A,van,1
Avap,A,vap,2
Avalg,A,valg,
Avas,A,vas,5
Avah,A,vah,1
AvA,A,vA,2
Avitan,A-vi,tan,1
Avid,A,vid,1
Avid,A,vid,3
AviBA,A-vi,BA,1
AviS,A,viS,
Avihan,A-vi,han,1
AvI,A,vI,1
Avf,A,vf,1
Avf,A,vf,2
Avfj,A,vfj,1
Avft,A,vft,1
AvfD,A,vfD,
Avfz,A,vfz,
Avfh,A,vfh,1
Ave,A,ve,1
Ave,A-ava-A,i,5
Avezw,A,vezw,
AvyaD,A,vyaD,
Avye,A,vye,
Avraj,A,vraj,
AvraSc,A,vraSc,
ASaMs,A,SaMs,
ASak,A,Sak,
ASaNk,A,SaNk,
ASAs,A,SAs,1
ASi,A,Si,1
ASI,A,SI,1
ASuc,A,Suc,1
ASuz,A,Suz,1
ASyE,A,SyE,
ASri,A,Sri,1
ASrI,A,SrI,1
ASru,A,Sru,1
ASlaT,A,SlaT,
ASliz,A,Sliz,1
ASvas,A,Svas,1
As,A,as,1
Asac,A,sac,1
AsaYj,A,saYj,1
Asad,A,sad,2
Asan,A,san,1
Asi,A,si,1
Asic,A,sic,1
Asiv,A,siv,
Asu,A,su,3
AsU,A,sU,1
Asf,A,sf,
Asfj,A,sfj,1
Asev,A,sev,
Askand,A,skand,
AskaB,A,skaB,
Asku,A,sku,
AstuB,A,stuB,1
Astf,A,stf,1
AsTA,A,sTA,1
Aspand,A,spand,
Aspf,A,spf,1
AsPAy,A,sPAy,
Asyand,A,syand,
Asru,A,sru,
Asvad,A,svad,
Asvan,A,svan,1
Asvid,A,svid,2
Ahan,A,han,1
Ahary,A,hary,
Ahi,A,hi,1
AhiMs,A,hiMs,1
Ahu,A,hu,1
Ahf,A,hf,1
Ahfz,A,hfz,
Ahvf,A,hvf,
Ahve,A,hve,
izkf,nis,kf,1
uccak,ud,cak,
uccaw,ud,caw,
uccar,ud,car,
uccal,ud,cal,
ucci,ud,ci,1
uccumb,ud,cumb,2
ucculump,ud,culump,
uccyu,ud,cyu,1
ucCaMs,ud,SaMs,
ucCad,ud,Cad,1
ucCal,ud,Sal,1
ucCAs,ud,SAs,1
ucCid,ud,Cid,
ucCiz,ud,Siz,1
ucCI,ud,SI,1
ucCuc,ud,Suc,1
ucCuz,ud,Suz,1
ucCraT,ud,SraT,
ucCri,ud,Sri,1
ucCvaYc,ud,SvaYc,
ucCvas,ud,Svas,1
ucCvi,ud,Svi,
ujjan,ud,jan,
ujjas,ud,jas,
ujjAgf,ud,jAgf,
ujji,ud,ji,1
ujjIv,ud,jIv,
ujjfmB,ud,jfmB,
ujjval,ud,jval,
uqqI,ud,qI,
utkand,ud,skand,
utkamp,ud,kamp,
utkal,ud,kal,1
utkal,ud,kal,1
utkaz,ud,kaz,
utkas,ud,kas,1
utkAS,ud,kAS,
utkAs,ud,kAs,1
utkIl,ud,kIl,
utkuc,ud,kuc,
utkuw,ud,kuw,
utkU,ud,kU,1
utkUj,ud,kUj,
utkUrd,ud,kUrd,
utkf,ud,kf,1
utkft,ud,kft,2
utkft,ud,kft,2
utkfz,ud,kfz,1
utkF,ud,kF,1
utkxp,ud,kxp,
utkram,ud,kram,
utkruS,ud,kruS,
utkliS,ud,kliS,
utkvaT,ud,kvaT,
utkzip,ud,kzip,1
utKac,ud,Kac,
utKan,ud,Kan,
utKid,ud,Kid,
uttakz,ud,takz,1
uttan,ud,tan,1
uttap,ud,tap,1
uttam,ud,tam,
uttamB,ud,stamB,
uttij,ud,tij,
uttu,ud,tu,1
uttud,ud,tud,1
uttul,ud,tul,
uttfd,ud,tfd,
uttF,ud,tF,
uttras,ud,tras,1
utTA,ud,sTA,1
utpac,ud,pac,1
utpaw,ud,paw,
utpat,ud,pat,1
utpad,ud,pad,1
utpaS,ud,paS,3
utpA,ud,pA,1
utpA,ud,pA,1
utpIq,ud,pIq,
utpU,ud,pU,1
utpF,ud,pF,
utpyE,ud,pyE,
utpru,ud,pru,
utprekz,ud-prA,Ikz,
utplu,ud,plu,
utPal,ud,Pal,
utsad,ud,sad,2
utsarj,ud,sarj,1
utsah,ud,sah,1
utsi,ud,si,1
utsic,ud,sic,1
utsiD,ud,siD,1
utsiv,ud,siv,
utsU,ud,sU,1
utsf,ud,sf,
utsfj,ud,sfj,1
utsfp,ud,sfp,
utsnA,ud,snA,1
utspfS,ud,spfS,1
utsmi,ud,smi,
udaj,ud,aj,
udaYc,ud,aYc,1
udaYj,ud,aYj,
udan,ud,an,2
udapAs,ud-apa-A,as,1
udaBI,ud-aBi,i,5
udarc,ud,arc,1
udard,ud,ard,
udavaso,ud-ava,so,1
udas,ud,as,2
udAkf,ud-A,kf,1
udAgA,ud-A,gA,1
udAcakz,ud-A,cakz,
udAcar,ud-A,car,
udAjan,ud-A,jan,
udAtan,ud-A,tan,1
udAdA,ud-A,dA,1
udAdru,ud-A,dru,2
udAnI,ud-A,nI,2
udAp,ud,Ap,1
udAyam,ud-A,yam,
udAyA,ud-A,yA,1
udAyu,ud-A,yu,2
udAruh,ud-A,ruh,1
udAvas,ud-A,vas,5
udAvah,ud-A,vah,1
udAvraj,ud-A,vraj,
udASaMs,ud-A,SaMs,
udAs,ud,As,2
udAsTA,ud-A,sTA,1
udAhan,ud-A,han,1
udAhf,ud-A,hf,1
udi,ud,i,5
udIkz,ud,Ikz,
udIr,ud,Ir,
udIz,ud,Iz,1
udukz,ud,ukz,1
udubj,ud,ubj,
uduz,ud,uz,1
udUh,ud,Uh,1
udf,ud,f,4
udfz,ud,fz,2
ude,ud-A,i,5
udej,ud,ej,
udgam,ud,gam,1
udgarj,ud,garj,
udgal,ud,gal,1
udgA,ud,gA,1
udgAh,ud,gAh,
udgur,ud,gur,
udguh,ud,guh,1
udgF,ud,gF,1
udgE,ud,gE,
udgranT,ud,granT,1
udgrah,ud,grah,
udGuz,ud,Guz,1
udGfz,ud,Gfz,2
uddA,ud,dA,1
uddiS,ud,diS,1
uddih,ud,dih,1
uddIp,ud,dIp,
udduz,ud,duz,2
uddfMh,ud,dfMh,
uddF,ud,dF,
uddyut,ud,dyut,2
uddru,ud,dru,1
udDan,ud,han,1
udDas,ud,has,1
udDA,ud,DA,1
udDA,ud,hA,2
udDI,ud,DI,1
udDU,ud,DU,1
udDf,ud,Df,
udDf,ud,hf,1
udDfz,ud,hfz,
udDmA,ud,DmA,
udDvaMs,ud,DvaMs,
udDve,ud,hve,
udbanD,ud,banD,
udbAD,ud,bAD,
udbuD,ud,buD,
udbrU,ud,brU,
udBarts,ud,Barts,
udBA,ud,BA,1
udBAs,ud,BAs,1
udBid,ud,Bid,1
udBU,ud,BU,1
udBf,ud,Bf,1
udBram,ud,Bram,
udyam,ud,yam,
udyA,ud,yA,1
udyu,ud,yu,2
udyuj,ud,yuj,1
udyuD,ud,yuD,1
udraYj,ud,raYj,
udram,ud,ram,
udruc,ud,ruc,1
udruD,ud,ruD,2
udvad,ud,vad,
udvap,ud,vap,2
udvam,ud,vam,
udvas,ud,vas,5
udvah,ud,vah,1
udvA,ud,vA,2
udvAS,ud,vAS,
udviGuz,ud-vi,Guz,1
udvicakz,ud-vi,cakz,
udvij,ud,vij,1
udvidF,ud-vi,dF,
udvisfj,ud-vi,sfj,1
udvIkz,ud-vi,Ikz,
udvf,ud,vf,1
udvfj,ud,vfj,1
udvft,ud,vft,1
udvfz,ud,vfz,
udvfh,ud,vfh,1
udve,ud,ve,1
udvell,ud,vell,
udvezw,ud,vezw,
udvE,ud,vE,1
udvyudas,ud-vi-ud,as,2
udvraj,ud,vraj,
unnad,ud,nad,
unnaB,ud,naB,1
unnam,ud,nam,
unnaS,ud,naS,1
unnah,ud,nah,1
unniDA,ud-ni,DA,1
unnI,ud,nI,2
unmajj,ud,majj,
unmad,ud,mad,2
unmand,ud,mand,1
unmi,ud,mi,1
unmiz,ud,miz,1
unmI,ud,mI,1
unmIl,ud,mIl,
unmuc,ud,muc,1
unmud,ud,mud,1
unmurC,ud,murC,
unmuz,ud,muz,1
unmuh,ud,muh,1
unmfj,ud,mfj,1
unmfd,ud,mfd,1
unmfS,ud,mfS,1
upakf,upa,kf,1
upakft,upa,kft,2
upakfz,upa,kfz,1
upakF,upa,kF,1
upakxp,upa,kxp,
upakram,upa,kram,
upakrIq,upa,krIq,
upakruS,upa,kruS,
upaklid,upa,klid,
upakzar,upa,kzar,
upakzi,upa,kzi,2
upakzip,upa,kzip,1
upagam,upa,gam,1
upagA,upa,gA,1
upagAh,upa,gAh,
upaguh,upa,guh,1
upagF,upa,gF,1
upagF,upa,gF,2
upagE,upa,gE,
upagranT,upa,granT,1
upagras,upa,gras,1
upagrah,upa,grah,
upaGrA,upa,GrA,
