form,root,hom,pos,modification
dApayitum,dA,1,infinitive,caus
dArayitum,dF,,infinitive,caus
dAvayitum,du,2,infinitive,caus
dASayitum,dAS,1,infinitive,caus
dASitum,dAS,1,infinitive,
dAsayitum,das,,infinitive,caus
dAhayitum,dah,1,infinitive,caus
ditsitum,dA,1,infinitive,desid
diDizitum,DA,1,infinitive,desid
dIkzayitum,dIkz,,infinitive,caus
dIkzitum,dIkz,,infinitive,
dudUzitum,du,2,infinitive,desid
dudrUzitum,dru,2,infinitive,desid
duDukzitum,duh,2,infinitive,desid
dUzayitum,duz,2,infinitive,caus
degDum,dih,1,infinitive,
dehayitum,dih,1,infinitive,caus
dogDum,duh,2,infinitive,
dotum,du,2,infinitive,
dozwum,duz,2,infinitive,
dohayitum,duh,2,infinitive,caus
dyotayitum,dyut,2,infinitive,caus
dyotitum,dyut,2,infinitive,
drAtum,drA,,infinitive,
drAtum,drA,,infinitive,
drApayitum,drA,,infinitive,caus
drArayitum,druh,1,infinitive,caus
drAvayitum,dru,2,infinitive,caus
drogDum,druh,1,infinitive,
drotum,dru,2,infinitive,
drohitum,druh,1,infinitive,
dvezwum,dviz,2,infinitive,
Dartum,Df,,infinitive,
Darzayitum,Dfz,,infinitive,caus
Darzitum,Dfz,,infinitive,
Davitum,DU,1,infinitive,
DAtum,DA,1,infinitive,
DAtum,DA,1,infinitive,
DApayitum,DA,1,infinitive,caus
DArayitum,Df,,infinitive,caus
DAritum,Df,,infinitive,caus
DAvitum,DAv,2,infinitive,
DAvitum,DAv,2,infinitive,
Ditsitum,DA,1,infinitive,desid
Dukzayitum,Dukz,,infinitive,caus
Dukzitum,Dukz,,infinitive,
DmAtum,Dam,,infinitive,
Drotum,Dru,1,infinitive,
DvaMsayitum,DvaMs,,infinitive,caus
DvaMsitum,DvaMs,,infinitive,
Dvanayitum,Dvan,2,infinitive,caus
Dvanitum,Dvan,2,infinitive,
Dvartum,Dvf,,infinitive,
DvANkzitum,DvANkz,,infinitive,
DvArayitum,Dvf,,infinitive,caus
naMzwum,naS,2,infinitive,
nadayitum,nad,,infinitive,caus
naditum,nad,,infinitive,
nadDum,nah,1,infinitive,
nantum,nam,,infinitive,
nandayitum,nand,,infinitive,caus
nanditum,nand,,infinitive,
namitum,nam,,infinitive,
nayitum,nI,2,infinitive,
nartayitum,nft,1,infinitive,caus
nartitum,nft,1,infinitive,
narttum,nft,1,infinitive,
narditum,nard,,infinitive,
navitum,nu,4,infinitive,
naSitum,naS,2,infinitive,
nazwum,naS,2,infinitive,
nATitum,nAT,,infinitive,
nAdayitum,nad,,infinitive,caus
nAmayitum,nam,,infinitive,caus
nAyayitum,nI,2,infinitive,caus
nASayitum,naS,2,infinitive,caus
niYjitum,nij,,infinitive,
ninadizitum,nad,,infinitive,desid
ninartizitum,nft,1,infinitive,desid
ninIzitum,nI,2,infinitive,desid
ninftsitum,nft,1,infinitive,desid
ninditum,nind,,infinitive,
nektum,nij,,infinitive,
nejayitum,nij,,infinitive,caus
netum,nI,2,infinitive,
nenikzitum,nij,,infinitive,desid
nottum,nud,,infinitive,
nodayitum,nud,,infinitive,caus
paktum,pac,2,infinitive,
pawitum,paw,,infinitive,
paWitum,paW,,infinitive,
paRayitum,paR,,infinitive,caus
paRitum,paR,,infinitive,
patitum,pat,2,infinitive,
paTitum,paT,,infinitive,
parcitum,pfc,1,infinitive,
partum,pf,1,infinitive,
parTayitum,pfT,2,infinitive,
parzitum,pfz,,infinitive,
pavitum,pU,1,infinitive,
pAcayitum,pac,2,infinitive,caus
pAwayitum,paw,,infinitive,caus
pAWayitum,paW,,infinitive,caus
pAtayitum,pat,2,infinitive,caus
pAtum,pA,1,infinitive,
pAtum,pA,3,infinitive,
pATayitum,paT,,infinitive,caus
pAyayitum,pA,1,infinitive,caus
pArayitum,pf,1,infinitive,caus
pArayitum,pF,,infinitive,caus
pAlayitum,pA,3,infinitive,caus
piYjitum,piYj,,infinitive,
pipakzitum,pac,2,infinitive,desid
pipaWizitum,paW,,infinitive,desid
pipatizitum,pat,2,infinitive,desid
pipAsitum,pA,1,infinitive,desid
pipAsitum,pA,3,infinitive,desid
piprIzitum,prI,1,infinitive,desid
pIqayitum,pIq,,infinitive,
pupUrzitum,pF,,infinitive,desid
pUjayitum,pUj,,infinitive,
pUyitum,pUy,,infinitive,
pUrayitum,pF,,infinitive,caus
pUritum,pF,,infinitive,
petum,pi,1,infinitive,
peSitum,piS,1,infinitive,
pezwum,piz,,infinitive,
poTayitum,puT,,infinitive,caus
poTitum,puT,,infinitive,
pozayitum,puz,2,infinitive,caus
pozwum,puz,2,infinitive,
praTayitum,praT,1,infinitive,caus
praTitum,praT,1,infinitive,
prAvayitum,pru,,infinitive,caus
prIRayitum,prI,1,infinitive,caus
pretum,prI,1,infinitive,
protum,pru,,infinitive,
plAvayitum,plu,,infinitive,caus
plotum,plu,,infinitive,
plozitum,pluz,,infinitive,
Palitum,Pal,,infinitive,
Pullitum,Pull,,infinitive,
baMhayitum,baMh,,infinitive,caus
baMhitum,baMh,,infinitive,
bandDum,banD,,infinitive,
banDayitum,banD,,infinitive,caus
banDitum,banD,,infinitive,
barhitum,bfh,1,infinitive,
barhitum,bfh,1,infinitive,
balitum,bal,2,infinitive,
bADayitum,bAD,,infinitive,caus
bADitum,bAD,,infinitive,
bIBatsitum,bAD,,infinitive,desid
buBukzitum,Buj,3,infinitive,desid
buButsitum,buD,,infinitive,desid
buBUzitum,BU,1,infinitive,desid
buBodizitum,buD,,infinitive,desid
buBoDizitum,buD,,infinitive,desid
bfMhayitum,bfh,1,infinitive,caus
bodDum,buD,,infinitive,
boDayitum,buD,,infinitive,caus
Baktum,Baj,,infinitive,
Bakzayitum,Bakz,,infinitive,caus
Bakzitum,Bakz,,infinitive,
BaNktum,BaYj,1,infinitive,
Bajitum,Baj,,infinitive,
BaYjayitum,BaYj,1,infinitive,caus
BaRitum,BaR,,infinitive,
BaRqitum,BaRq,,infinitive,
Banditum,Band,,infinitive,
Bartum,Bf,1,infinitive,
Bartsayitum,Barts,,infinitive,
Bavitum,BU,1,infinitive,
Bazwum,Baz,,infinitive,
Basitum,Bas,1,infinitive,
BAtum,BA,1,infinitive,
BAyayitum,BI,1,infinitive,caus
BArayitum,Bf,1,infinitive,caus
BAvayitum,BU,1,infinitive,caus
BAvitum,BU,1,infinitive,caus
BAzitum,BAz,1,infinitive,
BAzwum,BAz,1,infinitive,
BAsayitum,BAs,1,infinitive,caus
BAsitum,BAs,1,infinitive,
Bikzitum,Baj,,infinitive,desid
BIzayitum,BI,1,infinitive,caus
BuYjApayitum,Buj,3,infinitive,caus
BUzayitum,BUz,,infinitive,caus
BUzitum,BUz,,infinitive,
Betum,BI,1,infinitive,
Bettum,Bid,1,infinitive,
Bedayitum,Bid,1,infinitive,caus
Boktum,Buj,3,infinitive,
Boktum,Buj,3,infinitive,
Bojayitum,Buj,3,infinitive,caus
BraMSayitum,BraMS,,infinitive,caus
BraMSitum,BraMS,,infinitive,
Bramitum,Bram,,infinitive,
BrAjayitum,BrAj,1,infinitive,caus
BrAjitum,BrAj,1,infinitive,
BrAmayitum,Bram,,infinitive,caus
maMhayitum,maMh,,infinitive,caus
maMhitum,maMh,,infinitive,
maNktum,majj,,infinitive,
majjayitum,majj,,infinitive,caus
majjitum,majj,,infinitive,
maRqayitum,maRq,,infinitive,caus
maRqitum,maRq,,infinitive,
madayitum,mad,2,infinitive,caus
maditum,mad,2,infinitive,
manitum,man,,infinitive,
mantum,man,,infinitive,
manTitum,manT,1,infinitive,
mandayitum,mand,1,infinitive,caus
manditum,mand,1,infinitive,
marqitum,mfq,,infinitive,
mardayitum,mfd,1,infinitive,caus
marditum,mfd,1,infinitive,
marDitum,mfD,1,infinitive,
marSayitum,mfS,1,infinitive,caus
marzayitum,mfz,1,infinitive,caus
marzitum,mfz,1,infinitive,
marzwum,mfS,1,infinitive,
mahayitum,mah,1,infinitive,caus
mahitum,mah,1,infinitive,
mAtum,mA,3,infinitive,
mAtum,mA,3,infinitive,
mAdayitum,mad,2,infinitive,caus
mAnayitum,man,,infinitive,caus
mApayitum,mA,3,infinitive,caus
mArgayitum,mArg,,infinitive,
mArjayitum,mfj,1,infinitive,caus
mArjitum,mfj,1,infinitive,
mArzwum,mfj,1,infinitive,
militum,mil,,infinitive,
mImAMsitum,man,,infinitive,desid
mIlayitum,mIl,,infinitive,caus
mIlitum,mIl,,infinitive,
mumukzitum,muc,2,infinitive,desid
mUrCayitum,mUrC,,infinitive,caus
mUrCitum,mUrC,,infinitive,
mfqayitum,mfq,,infinitive,
meQum,mih,1,infinitive,
metum,mi,1,infinitive,
metum,mI,1,infinitive,
meTitum,miT,,infinitive,
melApayitum,mil,,infinitive,caus
mezitum,miz,1,infinitive,
moktum,muc,2,infinitive,
mokzayitum,mokz,,infinitive,
mokzitum,mokz,,infinitive,
mogDum,muh,1,infinitive,
mocayitum,muc,2,infinitive,caus
mocitum,muc,2,infinitive,caus
modayitum,mud,2,infinitive,caus
moditum,mud,2,infinitive,
mozitum,muz,2,infinitive,
mohayitum,muh,1,infinitive,caus
mohitum,muh,1,infinitive,
mnAtum,mnA,,infinitive,
yatitum,yat,2,infinitive,
yantum,yam,,infinitive,
yabDum,yaB,,infinitive,
yamayitum,yam,,infinitive,caus
yamitum,yam,,infinitive,
yavitum,yu,2,infinitive,
yavitum,yu,1,infinitive,
yazwum,yaj,1,infinitive,
yasitum,yas,,infinitive,
yAcitum,yAc,,infinitive,
yAjayitum,yaj,1,infinitive,caus
yAtayitum,yat,2,infinitive,caus
yAtum,yA,1,infinitive,
yApayitum,yA,1,infinitive,caus
yAvayitum,yu,1,infinitive,caus
yiyakzitum,yaj,1,infinitive,desid
yiyatizitum,yat,2,infinitive,desid
yiyAsitum,yA,1,infinitive,desid
yuyukzitum,yuj,1,infinitive,desid
yuyutsitum,yuD,1,infinitive,desid
yoktum,yuj,1,infinitive,
yojayitum,yuj,1,infinitive,caus
yodDum,yuD,1,infinitive,
raMhitum,raMh,,infinitive,
rakzayitum,rakz,1,infinitive,caus
rakzitum,rakz,1,infinitive,
raNktum,raYj,,infinitive,
racayitum,rac,,infinitive,
raYjayitum,raYj,,infinitive,caus
raRitum,raR,2,infinitive,
raditum,rad,,infinitive,
radDum,raD,,infinitive,
raDitum,raD,,infinitive,
rantum,ram,,infinitive,
ranDayitum,raD,,infinitive,caus
rabDum,raB,,infinitive,
ramayitum,ram,,infinitive,caus
ramitum,ram,,infinitive,
ravitum,ru,1,infinitive,
rahayitum,rah,,infinitive,
rAjayitum,rAj,1,infinitive,caus
rAjitum,rAj,1,infinitive,
rAtum,rA,1,infinitive,
rAdDum,rAD,,infinitive,
rADayitum,rAD,,infinitive,caus
rAmayitum,ram,,infinitive,caus
ripsitum,raB,,infinitive,desid
riraMsitum,ram,,infinitive,desid
rirakzizitum,rakz,1,infinitive,desid
rirADayizitum,rAD,,infinitive,desid
rurukzitum,ruh,1,infinitive,desid
rUpayitum,rUp,,infinitive,
rektum,ric,,infinitive,
recayitum,ric,,infinitive,caus
retum,ri,1,infinitive,
rezayitum,riz,1,infinitive,caus
rezitum,riz,1,infinitive,
rezwum,riz,1,infinitive,
roktum,ruj,1,infinitive,
rocayitum,ruc,1,infinitive,caus
rocitum,ruc,1,infinitive,
roQum,ruh,1,infinitive,
rodayitum,rud,1,infinitive,caus
roditum,rud,1,infinitive,
rodDum,ruD,1,infinitive,
rodDum,ruD,2,infinitive,
roDayitum,ruD,2,infinitive,caus
ropayitum,ruh,1,infinitive,caus
rozayitum,ruz,1,infinitive,caus
rozitum,ruz,1,infinitive,
rozwum,ruz,1,infinitive,
rohayitum,ruh,1,infinitive,caus
lakzayitum,lakz,,infinitive,
lagitum,lag,,infinitive,
laNgitum,laNg,,infinitive,
laNGayitum,laNG,,infinitive,caus
laNGitum,laNG,,infinitive,
lajjayitum,lajj,,infinitive,caus
lajjitum,lajj,,infinitive,
lapitum,lap,1,infinitive,
labDum,laB,,infinitive,
laBitum,laB,,infinitive,
lambitum,lamb,2,infinitive,
lamBayitum,laB,,infinitive,caus
lalitum,lal,,infinitive,
lavitum,lU,1,infinitive,
lazitum,laz,,infinitive,
lasitum,las,1,infinitive,
lAYCitum,lAYC,,infinitive,
lApayitum,lap,1,infinitive,caus
lAlayitum,lal,,infinitive,caus
lAzayitum,laz,,infinitive,caus
lAsayitum,las,1,infinitive,caus
liKitum,liK,,infinitive,
lipsitum,laB,,infinitive,desid
lilazizitum,laz,,infinitive,desid
leKayitum,liK,,infinitive,caus
leKitum,liK,,infinitive,
leQum,lih,1,infinitive,
lepayitum,lip,,infinitive,caus
leptum,lip,,infinitive,
lezwum,liS,1,infinitive,
lokayitum,lok,,infinitive,
lokitum,lok,,infinitive,
locitum,loc,,infinitive,
loptum,lup,1,infinitive,
lobDum,luB,,infinitive,
loBayitum,luB,,infinitive,caus
loBitum,luB,,infinitive,
lolitum,lul,,infinitive,
vaktum,vac,,infinitive,
vaYcayitum,vaYc,,infinitive,caus
vaYcitum,vaYc,,infinitive,
vaditum,vad,,infinitive,
vanitum,van,1,infinitive,
vanttum,vand,,infinitive,
vapitum,vap,2,infinitive,
vaptum,vap,2,infinitive,
vaptum,vap,2,infinitive,
vamitum,vam,,infinitive,
varayitum,vf,2,infinitive,caus
varitum,vf,2,infinitive,
varitum,vf,2,infinitive,
varItum,vf,2,infinitive,
varItum,vf,2,infinitive,
varjayitum,vfj,1,infinitive,caus
varjitum,vfj,1,infinitive,
vartayitum,vft,1,infinitive,caus
vartitum,vft,1,infinitive,
varttum,vft,1,infinitive,
varDayitum,vfD,,infinitive,caus
varDitum,vfD,,infinitive,
varzayitum,vfz,,infinitive,caus
varzitum,vfz,,infinitive,
varhitum,vfh,1,infinitive,
valayitum,val,,infinitive,caus
valitum,val,,infinitive,
valgitum,valg,,infinitive,
vaSitum,vaS,,infinitive,
vasitum,vas,5,infinitive,
vasitum,vas,4,infinitive,
vasitum,vas,2,infinitive,
vastum,vas,5,infinitive,
vahitum,vah,1,infinitive,
vAcayitum,vac,,infinitive,caus
vAYCitum,vAYC,,infinitive,
vAtum,vA,2,infinitive,
vAdayitum,vad,,infinitive,caus
vApayitum,vA,2,infinitive,caus
vApayitum,vap,2,infinitive,caus
vArayitum,vf,2,infinitive,caus
vAsayitum,vas,5,infinitive,caus
vAsayitum,vas,4,infinitive,caus
vAhayitum,vah,1,infinitive,caus
vijitum,vij,1,infinitive,
vivakzitum,vac,,infinitive,desid
vivatsitum,vas,5,infinitive,desid
vivikzitum,vic,,infinitive,desid
vivikzitum,viS,1,infinitive,desid
vivitsitum,vid,3,infinitive,desid
vividizitum,vid,3,infinitive,desid
vIjitum,vIj,,infinitive,
vektum,vic,,infinitive,
vecayitum,vic,,infinitive,caus
vejayitum,vij,1,infinitive,caus
vejitum,vij,1,infinitive,
vetum,vI,1,infinitive,
vettum,vid,3,infinitive,
vettum,vid,5,infinitive,
vedayitum,vid,3,infinitive,caus
veditum,vid,3,infinitive,
venitum,ven,,infinitive,
vepayitum,vip,1,infinitive,caus
vepitum,vip,1,infinitive,
veSayitum,viS,1,infinitive,caus
vezayitum,viz,1,infinitive,caus
vezwayitum,vezw,,infinitive,caus
vezwitum,vezw,,infinitive,
vezwum,viS,1,infinitive,
vezwum,viz,1,infinitive,
voQum,vah,1,infinitive,
vyaTayitum,vyaT,,infinitive,caus
vyaTitum,vyaT,,infinitive,
vyadDum,vyaD,,infinitive,
vyADayitum,vyaD,,infinitive,caus
vrajitum,vraj,,infinitive,
vraScayitum,vraSc,,infinitive,caus
vraScitum,vraSc,,infinitive,
vrazwum,vraSc,,infinitive,
vrIqitum,vrIq,,infinitive,
SaMsayitum,SaMs,,infinitive,caus
Saktum,Sak,,infinitive,
SaNkitum,SaNk,,infinitive,
Sattum,Sad,2,infinitive,
Saptum,Sap,3,infinitive,
Samayitum,Sam,1,infinitive,caus
Samitum,Sam,1,infinitive,
Samitum,Sam,1,infinitive,
Sayitum,SI,1,infinitive,
Saritum,SF,,infinitive,
SarItum,SF,,infinitive,
Salitum,Sal,1,infinitive,
SaSitum,SaS,,infinitive,
Sasitum,Sas,1,infinitive,
Sastum,SaMs,,infinitive,
SAtayitum,Sad,2,infinitive,caus
SAdayitum,Sad,2,infinitive,caus
SApayitum,Sap,3,infinitive,caus
SAyayitum,SI,1,infinitive,caus
SAsitum,SAs,1,infinitive,
Sikzitum,Sak,,infinitive,desid
SiSayizitum,SI,1,infinitive,desid
SIlayitum,SIl,1,infinitive,caus
SIlitum,SIl,1,infinitive,
SumBitum,SumB,2,infinitive,
SuSrUzitum,Sru,1,infinitive,desid
Setum,SI,1,infinitive,
Sezayitum,Siz,2,infinitive,caus
Sezitum,Siz,2,infinitive,caus
Sezwum,Siz,2,infinitive,
Soktum,Suc,1,infinitive,
Socayitum,Suc,1,infinitive,caus
Socitum,Suc,1,infinitive,
SodDum,SuD,,infinitive,
SoDayitum,SuD,,infinitive,caus
SoBayitum,SuB,1,infinitive,caus
SoBitum,SuB,1,infinitive,
Sramitum,Sram,1,infinitive,
SramBitum,SramB,,infinitive,
Srayitum,Sri,1,infinitive,
SrAmayitum,Sram,1,infinitive,caus
SrAvayitum,Sru,1,infinitive,caus
Srotum,Sru,1,infinitive,
SlAGitum,SlAG,,infinitive,
Slezayitum,Sliz,2,infinitive,caus
Slezwum,Sliz,2,infinitive,
Svasitum,Svas,1,infinitive,
Svetitum,Svit,1,infinitive,
zWIvitum,zWIv,,infinitive,
saktum,saYj,2,infinitive,
sacitum,sac,1,infinitive,
sajjayitum,saYj,2,infinitive,caus
sattum,sad,2,infinitive,
sanitum,san,1,infinitive,
sapitum,sap,1,infinitive,
sarjayitum,sfj,1,infinitive,caus
sartum,sf,,infinitive,
sarpayitum,sfp,,infinitive,caus
sarptum,sfp,,infinitive,
savitum,su,3,infinitive,
savitum,sU,2,infinitive,
sahitum,sah,1,infinitive,
sAQum,sah,1,infinitive,
sAdayitum,sad,2,infinitive,caus
sAdayitum,svad,,infinitive,caus
sADayitum,siD,3,infinitive,caus
sAnayitum,san,1,infinitive,caus
sApayitum,sap,1,infinitive,caus
sArayitum,sf,,infinitive,caus
sisAnayizitum,san,1,infinitive,desid
sisfkzitum,sfj,1,infinitive,desid
sismayizitum,smi,,infinitive,desid
sIditum,sad,2,infinitive,
sUcayitum,sUc,,infinitive,
sektum,sic,1,infinitive,
secayitum,sic,1,infinitive,caus
sedDum,siD,3,infinitive,
sedDum,siD,2,infinitive,
seDitum,siD,2,infinitive,
sevitum,sev,,infinitive,
sotum,su,3,infinitive,
sotum,sU,2,infinitive,
soritum,sur,,infinitive,
skanttum,skand,,infinitive,
skandayitum,skand,,infinitive,caus
skanditum,skand,,infinitive,
skamBitum,skamB,,infinitive,
sKalayitum,sKal,,infinitive,caus
sKalitum,sKal,,infinitive,
sKAlayitum,sKal,,infinitive,caus
stanitum,stan,,infinitive,
stamBayitum,stamB,,infinitive,caus
stamBitum,stamB,,infinitive,
staritum,stF,1,infinitive,
starItum,stF,1,infinitive,
stavitum,stu,1,infinitive,
stAvayitum,stu,1,infinitive,caus
stotum,stu,1,infinitive,
stoBitum,stuB,1,infinitive,
sTAtum,sTA,1,infinitive,
sTApayitum,sTA,1,infinitive,caus
snavitum,snu,1,infinitive,
snAtum,snA,1,infinitive,
snegDum,snih,1,infinitive,
snehayitum,snih,1,infinitive,caus
snehitum,snih,1,infinitive,
snogDum,snuh,1,infinitive,
snohitum,snuh,1,infinitive,
spandayitum,spand,,infinitive,caus
spanditum,spand,,infinitive,
sparDitum,sparD,,infinitive,
sparzwum,spfS,1,infinitive,
spfhayitum,spfh,1,infinitive,
sPalitum,sPal,,infinitive,
sPuwitum,sPuw,,infinitive,
sPoritum,sPur,1,infinitive,
smartum,smf,2,infinitive,
smAyayitum,smi,,infinitive,caus
smArayitum,smf,2,infinitive,caus
smetum,smi,,infinitive,
syanttum,syand,,infinitive,
syanditum,syand,,infinitive,
sraMsitum,sraMs,1,infinitive,
srazwum,sfj,1,infinitive,
srAvayitum,sru,,infinitive,caus
srotum,sru,,infinitive,
svaktum,svaYj,,infinitive,
svaYjayitum,svaYj,,infinitive,caus
svaditum,svad,,infinitive,
svanayitum,svan,1,infinitive,caus
svanitum,svan,1,infinitive,
svapitum,svap,1,infinitive,
svaptum,svap,1,infinitive,
svaritum,svar,2,infinitive,
svaritum,svar,2,infinitive,
svAdayitum,svad,,infinitive,caus
svettum,svid,2,infinitive,
svedayitum,svid,2,infinitive,caus
haWitum,haW,,infinitive,
hattum,had,,infinitive,
hantum,han,1,infinitive,
hartum,hf,1,infinitive,
hartum,hf,2,infinitive,
harzayitum,hfz,,infinitive,caus
harzitum,hfz,,infinitive,
hasitum,has,1,infinitive,
hAtum,hA,3,infinitive,
hArayitum,hf,1,infinitive,caus
hAsayitum,has,1,infinitive,caus
hiMsitum,hiMs,1,infinitive,
hikkitum,hikk,,infinitive,
huRqitum,huRq,,infinitive,
hetum,hi,1,infinitive,
hotum,hu,1,infinitive,
hnotum,hnu,,infinitive,
hrasitum,hras,,infinitive,
hrAdayitum,hrAd,,infinitive,caus
hrAditum,hrAd,,infinitive,
hrAsayitum,hras,,infinitive,caus
hretum,hrI,1,infinitive,
hrepayitum,hrI,1,infinitive,caus
hlAdayitum,hlAd,,infinitive,caus
hlAditum,hlAd,,infinitive,
hvalitum,hval,,infinitive,
