form,root,pos,modification,,,,,,,,,
leKayitvA,liK,gerund,caus,,,leKayitvA,liK,,,,,gerund
leKitvA,liK,gerund,,,,leKitvA,liK,,,,,gerund
lepayitvA,lip,gerund,caus,,,lepayitvA,lip,,,,,gerund
lelAyitvA,lelA,gerund,,,,lelAyitvA,lelA,,,,,gerund
lokayitvA,lok,gerund,,,,lokayitvA,lok,,,,,gerund
lokitvA,lok,gerund,,,,lokitvA,lok,,,,,gerund
locitvA,loc,gerund,,,,locitvA,loc,,,,,gerund
loWayitvA,luRW,gerund,caus,,,loWayitvA,luRW,,,,,gerund
loBayitvA,luB,gerund,caus,,,loBayitvA,luB,,,,,gerund
loBitvA,luB,gerund,,,,loBitvA,luB,,,,,gerund
lolitvA,lul,gerund,,,,lolitvA,lul,,,,,gerund
lohitAyitvA,lohita,gerund,,,,lohitAyitvA,lohita,,,,,gerund
vakzayitvA,vakz,gerund,caus,,,vakzayitvA,vakz,,,,,gerund
vaNktvA,vaYc,gerund,,,,vaNktvA,vaYc,,,,,gerund
vaYcayitvA,vaYc,gerund,caus,,,vaYcayitvA,vaYc,,,,,gerund
vaYcitvA,vaYc,gerund,,,,vaYcitvA,vaYc,,,,,gerund
vatvA,van,gerund,,,,vatvA,van,,,,,gerund
vaditvA,vad,gerund,,,,vaditvA,vad,,,,,gerund
vanditvA,vand,gerund,,,,vanditvA,vand,,,,,gerund
varayitvA,vf#2,gerund,caus,,,varayitvA,vf#2,,,,,gerund
varitvA,vf#2,gerund,,,,varitvA,vf#2,,,,,gerund
varivasyitvA,varivas,gerund,,,,varivasyitvA,varivas,,,,,gerund
varItvA,vf#2,gerund,,,,varItvA,vf#2,,,,,gerund
varjayitvA,vfj,gerund,caus,,,varjayitvA,vfj,,,,,gerund
varRayitvA,varRa,gerund,,,,varRayitvA,varRa,,,,,gerund
vartayitvA,vft#1,gerund,caus,,,vartayitvA,vft#1,,,,,gerund
varDayitvA,vfD#1,gerund,caus,,,varDayitvA,vfD#1,,,,,gerund
varDitvA,vfD#1,gerund,,,,varDitvA,vfD#1,,,,,gerund
varzayitvA,vfz,gerund,caus,,,varzayitvA,vfz,,,,,gerund
varzitvA,vfz,gerund,,,,varzitvA,vfz,,,,,gerund
varhitvA,vfh,gerund,,,,varhitvA,vfh,,,,,gerund
valayitvA,val,gerund,caus,,,valayitvA,val,,,,,gerund
valitvA,val,gerund,,,,valitvA,val,,,,,gerund
valgitvA,valg,gerund,,,,valgitvA,valg,,,,,gerund
valgUyitvA,valgu,gerund,,,,valgUyitvA,valgu,,,,,gerund
vasitvA,vas#1,gerund,,,,vasitvA,vas#1,,,,,gerund
vasitvA,vas#2,gerund,,,,vasitvA,vas#2,,,,,gerund
vasitvA,vas#4,gerund,,,,vasitvA,vas#4,,,,,gerund
vAcayitvA,vac,gerund,caus,,,vAcayitvA,vac,,,,,gerund
vAcyitvA,vAc,gerund,,,,vAcyitvA,vAc,,,,,gerund
vAYCitvA,vAYC,gerund,,,,vAYCitvA,vAYC,,,,,gerund
vAtvA,vA#2,gerund,,,,vAtvA,vA#2,,,,,gerund
vAdayitvA,vad,gerund,caus,,,vAdayitvA,vad,,,,,gerund
vAntvA,vam,gerund,,,,vAntvA,vam,,,,,gerund
vApayitvA,vA#2,gerund,caus,,,vApayitvA,vA#2,,,,,gerund
vApayitvA,vap#2,gerund,caus,,,vApayitvA,vap#2,,,,,gerund
vArayitvA,vf#1,gerund,caus,,,vArayitvA,vf#1,,,,,gerund
vASitvA,vAS,gerund,,,,vASitvA,vAS,,,,,gerund
vAsayitvA,vAsa#3,gerund,,,,vAsayitvA,vAsa#3,,,,,gerund
vAsayitvA,vas#1,gerund,caus,,,vAsayitvA,vas#1,,,,,gerund
vAsayitvA,vas#2,gerund,caus,,,vAsayitvA,vas#2,,,,,gerund
vAhayitvA,vah#1,gerund,caus,,,vAhayitvA,vah#1,,,,,gerund
viktvA,vic,gerund,,,,viktvA,vic,,,,,gerund
viktvA,vij,gerund,,,,viktvA,vij,,,,,gerund
vittvA,vid#2,gerund,,,,vittvA,vid#2,,,,,gerund
viditvA,vid#1,gerund,,,,viditvA,vid#1,,,,,gerund
vidDvA,viD#1,gerund,,,,vidDvA,viD#1,,,,,gerund
vidDvA,vyaD,gerund,,,,vidDvA,vyaD,,,,,gerund
vipitvA,vip,gerund,,,,vipitvA,vip,,,,,gerund
vimanAyitvA,vimanA,gerund,,,,vimanAyitvA,vimanA,,,,,gerund
vivakzitvA,vac,gerund,desid,,,vivakzitvA,vac,,,,,gerund
vivatsitvA,vas#1,gerund,desid,,,vivatsitvA,vas#1,,,,,gerund
vivikzitvA,vic,gerund,desid,,,vivikzitvA,vic,,,,,gerund
vivikzitvA,viS#1,gerund,desid,,,vivikzitvA,viS#1,,,,,gerund
vivitsitvA,vid#1,gerund,desid,,,vivitsitvA,vid#1,,,,,gerund
vividizitvA,vid#1,gerund,desid,,,vividizitvA,vid#1,,,,,gerund
viSadayitvA,viSada,gerund,,,,viSadayitvA,viSada,,,,,gerund
vizAyitvA,vizA,gerund,,,,vizAyitvA,vizA,,,,,gerund
vizwvA,viz#1,gerund,,,,vizwvA,viz#1,,,,,gerund
vizwvA,viS#1,gerund,,,,vizwvA,viS#1,,,,,gerund
vIktvA,vIj,gerund,,,,vIktvA,vIj,,,,,gerund
vItvA,vI#1,gerund,,,,vItvA,vI#1,,,,,gerund
vItvA,vyA,gerund,,,,vItvA,vyA,,,,,gerund
vfktvA,vfj,gerund,,,,vfktvA,vfj,,,,,gerund
vfQvA,vfh,gerund,,,,vfQvA,vfh,,,,,gerund
vfttvA,vft#1,gerund,,,,vfttvA,vft#1,,,,,gerund
vftvA,vf#1,gerund,,,,vftvA,vf#1,,,,,gerund
vftvA,vf#2,gerund,,,,vftvA,vf#2,,,,,gerund
vfdDvA,vfD#1,gerund,,,,vfdDvA,vfD#1,,,,,gerund
vfzasyitvA,vfza,gerund,,,,vfzasyitvA,vfza,,,,,gerund
vfzIyitvA,vfza,gerund,,,,vfzIyitvA,vfza,,,,,gerund
vfzwvA,vfz,gerund,,,,vfzwvA,vfz,,,,,gerund
vfzwvA,vraSc,gerund,,,,vfzwvA,vraSc,,,,,gerund
vecayitvA,vic,gerund,caus,,,vecayitvA,vic,,,,,gerund
vejayitvA,vij,gerund,caus,,,vejayitvA,vij,,,,,gerund
vedayitvA,vid#1,gerund,caus,,,vedayitvA,vid#1,,,,,gerund
veditvA,vid#1,gerund,,,,veditvA,vid#1,,,,,gerund
venitvA,ven,gerund,,,,venitvA,ven,,,,,gerund
vepayitvA,vip,gerund,caus,,,vepayitvA,vip,,,,,gerund
vepitvA,vip,gerund,,,,vepitvA,vip,,,,,gerund
veSayitvA,viS#1,gerund,caus,,,veSayitvA,viS#1,,,,,gerund
vezayitvA,viz#1,gerund,caus,,,vezayitvA,viz#1,,,,,gerund
vezwayitvA,vezw,gerund,caus,,,vezwayitvA,vezw,,,,,gerund
vezwitvA,vezw,gerund,,,,vezwitvA,vezw,,,,,gerund
vErAyitvA,vEra,gerund,,,,vErAyitvA,vEra,,,,,gerund
vyaTayitvA,vyaT,gerund,caus,,,vyaTayitvA,vyaT,,,,,gerund
vyaTitvA,vyaT,gerund,,,,vyaTitvA,vyaT,,,,,gerund
vyADayitvA,vyaD,gerund,caus,,,vyADayitvA,vyaD,,,,,gerund
vrajitvA,vraj,gerund,,,,vrajitvA,vraj,,,,,gerund
vraRayitvA,vraRa,gerund,,,,vraRayitvA,vraRa,,,,,gerund
vraScayitvA,vraSc,gerund,caus,,,vraScayitvA,vraSc,,,,,gerund
vrIqitvA,vrIq,gerund,,,,vrIqitvA,vrIq,,,,,gerund
SaMsayitvA,SaMs,gerund,caus,,,SaMsayitvA,SaMs,,,,,gerund
SaMsitvA,SaMs,gerund,,,,SaMsitvA,SaMs,,,,,gerund
SaktvA,Sak,gerund,,,,SaktvA,Sak,,,,,gerund
SaNkitvA,SaNk,gerund,,,,SaNkitvA,SaNk,,,,,gerund
SattvA,Sad,gerund,,,,SattvA,Sad,,,,,gerund
SapitvA,Sap,gerund,,,,SapitvA,Sap,,,,,gerund
SaptvA,Sap,gerund,,,,SaptvA,Sap,,,,,gerund
SabdAyitvA,Sabda,gerund,,,,SabdAyitvA,Sabda,,,,,gerund
SamayitvA,Sam#1,gerund,caus,,,SamayitvA,Sam#1,,,,,gerund
SayitvA,SI#1,gerund,,,,SayitvA,SI#1,,,,,gerund
SalaBAyitvA,SalaBa,gerund,,,,SalaBAyitvA,SalaBa,,,,,gerund
SaltvA,Sal,gerund,,,,SaltvA,Sal,,,,,gerund
SasitvA,Sas,gerund,,,,SasitvA,Sas,,,,,gerund
SastvA,Sas,gerund,,,,SastvA,Sas,,,,,gerund
SastvA,SaMs,gerund,,,,SastvA,SaMs,,,,,gerund
SAtayitvA,Sad,gerund,caus,,,SAtayitvA,Sad,,,,,gerund
SAdayitvA,Sad,gerund,caus,,,SAdayitvA,Sad,,,,,gerund
SAntayitvA,SAnta,gerund,,,,SAntayitvA,SAnta,,,,,gerund
SApayitvA,Sap,gerund,caus,,,SApayitvA,Sap,,,,,gerund
SAyayitvA,SI#1,gerund,caus,,,SAyayitvA,SI#1,,,,,gerund
SAsitvA,SAs,gerund,,,,SAsitvA,SAs,,,,,gerund
SAstvA,SAs,gerund,,,,SAstvA,SAs,,,,,gerund
SikzayitvA,Sikz,gerund,caus,,,SikzayitvA,Sikz,,,,,gerund
SikzitvA,Sikz,gerund,,,,SikzitvA,Sikz,,,,,gerund
SikzitvA,Sak,gerund,desid,,,SikzitvA,Sak,,,,,gerund
SitvA,SA,gerund,,,,SitvA,SA,,,,,gerund
SiTilayitvA,SiTila,gerund,,,,SiTilayitvA,SiTila,,,,,gerund
SiTilAyitvA,SiTila,gerund,,,,SiTilAyitvA,SiTila,,,,,gerund
SiSayizitvA,SI#1,gerund,desid,,,SiSayizitvA,SI#1,,,,,gerund
SiSUyitvA,SiSu,gerund,,,,SiSUyitvA,SiSu,,,,,gerund
SizwvA,Siz,gerund,,,,SizwvA,Siz,,,,,gerund
SizwvA,SAs,gerund,,,,SizwvA,SAs,,,,,gerund
SIGrAyitvA,SIGra,gerund,,,,SIGrAyitvA,SIGra,,,,,gerund
SItvA,SyA,gerund,,,,SItvA,SyA,,,,,gerund
SIrtvA,SF,gerund,,,,SIrtvA,SF,,,,,gerund
SIlayitvA,SIl,gerund,caus,,,SIlayitvA,SIl,,,,,gerund
SIltvA,SIl,gerund,,,,SIltvA,SIl,,,,,gerund
SuktvA,Suc#1,gerund,,,,SuktvA,Suc#1,,,,,gerund
SudDvA,SuD,gerund,,,,SudDvA,SuD,,,,,gerund
SubDvA,SuB#1,gerund,,,,SubDvA,SuB#1,,,,,gerund
SumBitvA,SumB,gerund,,,,SumBitvA,SumB,,,,,gerund
SuSrUzitvA,Sru,gerund,desid,,,SuSrUzitvA,Sru,,,,,gerund
SUtvA,SU,gerund,,,,SUtvA,SU,,,,,gerund
SezayitvA,Siz,gerund,caus,,,SezayitvA,Siz,,,,,gerund
SocayitvA,Suc#1,gerund,caus,,,SocayitvA,Suc#1,,,,,gerund
SoDayitvA,SuD,gerund,caus,,,SoDayitvA,SuD,,,,,gerund
SoBayitvA,SuB#1,gerund,caus,,,SoBayitvA,SuB#1,,,,,gerund
SozayitvA,Suz,gerund,caus,,,SozayitvA,Suz,,,,,gerund
SyAmAyitvA,SyAma,gerund,,,,SyAmAyitvA,SyAma,,,,,gerund
SyenayitvA,Syena,gerund,,,,SyenayitvA,Syena,,,,,gerund
SyenAyitvA,Syena,gerund,,,,SyenAyitvA,Syena,,,,,gerund
SrabDvA,SramB,gerund,,,,SrabDvA,SramB,,,,,gerund
SramitvA,Sram,gerund,,,,SramitvA,Sram,,,,,gerund
SramBitvA,SramB,gerund,,,,SramBitvA,SramB,,,,,gerund
SrAntvA,Sram,gerund,,,,SrAntvA,Sram,,,,,gerund
SrAmayitvA,Sram,gerund,caus,,,SrAmayitvA,Sram,,,,,gerund
SrAvayitvA,Sru,gerund,caus,,,SrAvayitvA,Sru,,,,,gerund
SritvA,Sri,gerund,,,,SritvA,Sri,,,,,gerund
SrutvA,Sru,gerund,,,,SrutvA,Sru,,,,,gerund
SlAGitvA,SlAG,gerund,,,,SlAGitvA,SlAG,,,,,gerund
SlizwvA,Sliz,gerund,,,,SlizwvA,Sliz,,,,,gerund
SlezayitvA,Sliz,gerund,caus,,,SlezayitvA,Sliz,,,,,gerund
SvasitvA,Svas#1,gerund,,,,SvasitvA,Svas#1,,,,,gerund
SvittvA,Svit,gerund,,,,SvittvA,Svit,,,,,gerund
zaRQayitvA,zaRQa,gerund,,,,zaRQayitvA,zaRQa,,,,,gerund
zWIvitvA,zWIv,gerund,,,,zWIvitvA,zWIv,,,,,gerund
zWIvtvA,zWIv,gerund,,,,zWIvtvA,zWIv,,,,,gerund
saktvA,sac,gerund,,,,saktvA,sac,,,,,gerund
saKIyitvA,saKi,gerund,,,,saKIyitvA,saKi,,,,,gerund
saNkawAyitvA,saNkawa,gerund,,,,saNkawAyitvA,saNkawa,,,,,gerund
saNgrAmayitvA,saNgrAma,gerund,,,,saNgrAmayitvA,saNgrAma,,,,,gerund
sajjayitvA,saYj,gerund,caus,,,sajjayitvA,saYj,,,,,gerund
sajjIyitvA,sajja,gerund,,,,sajjIyitvA,sajja,,,,,gerund
saYjitvA,saYj,gerund,,,,saYjitvA,saYj,,,,,gerund
sattvA,sad#1,gerund,,,,sattvA,sad#1,,,,,gerund
sapiRqayitvA,sapiRqa,gerund,,,,sapiRqayitvA,sapiRqa,,,,,gerund
saptvA,sap#1,gerund,,,,saptvA,sap#1,,,,,gerund
sarjayitvA,sfj#1,gerund,caus,,,sarjayitvA,sfj#1,,,,,gerund
sarpayitvA,sfp,gerund,caus,,,sarpayitvA,sfp,,,,,gerund
sahitvA,sah#1,gerund,,,,sahitvA,sah#1,,,,,gerund
sAQvA,sah#1,gerund,,,,sAQvA,sah#1,,,,,gerund
sAtvA,san#1,gerund,,,,sAtvA,san#1,,,,,gerund
sAdayitvA,sad#1,gerund,caus,,,sAdayitvA,sad#1,,,,,gerund
sAdayitvA,svad,gerund,caus,,,sAdayitvA,svad,,,,,gerund
sADayitvA,siD#1,gerund,caus,,,sADayitvA,siD#1,,,,,gerund
sAnayitvA,san#1,gerund,caus,,,sAnayitvA,san#1,,,,,gerund
sAntvayitvA,sAntva,gerund,,,,sAntvayitvA,sAntva,,,,,gerund
sApayitvA,sap#1,gerund,caus,,,sApayitvA,sap#1,,,,,gerund
sArayitvA,sf,gerund,caus,,,sArayitvA,sf,,,,,gerund
sAvaDAnayitvA,sAvaDAna,gerund,,,,sAvaDAnayitvA,sAvaDAna,,,,,gerund
siktvA,sic,gerund,,,,siktvA,sic,,,,,gerund
sitvA,sA#1,gerund,,,,sitvA,sA#1,,,,,gerund
sidDvA,siD#1,gerund,,,,sidDvA,siD#1,,,,,gerund
sidDvA,siD#2,gerund,,,,sidDvA,siD#2,,,,,gerund
siDitvA,siD#1,gerund,,,,siDitvA,siD#1,,,,,gerund
siDitvA,siD#2,gerund,,,,siDitvA,siD#2,,,,,gerund
sisAnayizitvA,san#1,gerund,desid,,,sisAnayizitvA,san#1,,,,,gerund
sisfkzitvA,sfj#1,gerund,desid,,,sisfkzitvA,sfj#1,,,,,gerund
sismayizitvA,smi,gerund,desid,,,sismayizitvA,smi,,,,,gerund
sIvayitvA,sIv,gerund,caus,,,sIvayitvA,sIv,,,,,gerund
suKAyitvA,suKa,gerund,,,,suKAyitvA,suKa,,,,,gerund
suKyitvA,suKa,gerund,,,,suKyitvA,suKa,,,,,gerund
sutvA,su#2,gerund,,,,sutvA,su#2,,,,,gerund
sutvA,sU#1,gerund,,,,sutvA,sU#1,,,,,gerund
sudinAyitvA,sudina,gerund,,,,sudinAyitvA,sudina,,,,,gerund
suptvA,svap,gerund,,,,suptvA,svap,,,,,gerund
sumanAyitvA,sumanas,gerund,,,,sumanAyitvA,sumanas,,,,,gerund
surtvA,sur,gerund,,,,surtvA,sur,,,,,gerund
susyUzitvA,sIv,gerund,desid,,,susyUzitvA,sIv,,,,,gerund
sUcayitvA,sUc,gerund,,,,sUcayitvA,sUc,,,,,gerund
sUtvA,sU#1,gerund,,,,sUtvA,sU#1,,,,,gerund
sUdayitvA,sUd,gerund,,,,sUdayitvA,sUd,,,,,gerund
sftvA,sf,gerund,,,,sftvA,sf,,,,,gerund
sfptvA,sfp,gerund,,,,sfptvA,sfp,,,,,gerund
sfzwvA,sfj#1,gerund,,,,sfzwvA,sfj#1,,,,,gerund
secayitvA,sic,gerund,caus,,,secayitvA,sic,,,,,gerund
seDitvA,siD#1,gerund,,,,seDitvA,siD#1,,,,,gerund
seDitvA,siD#2,gerund,,,,seDitvA,siD#2,,,,,gerund
sevayitvA,sIv,gerund,caus,,,sevayitvA,sIv,,,,,gerund
sevitvA,sev,gerund,,,,sevitvA,sev,,,,,gerund
sevitvA,sIv,gerund,,,,sevitvA,sIv,,,,,gerund
soQvA,sah#1,gerund,,,,soQvA,sah#1,,,,,gerund
skanttvA,skand,gerund,,,,skanttvA,skand,,,,,gerund
skandayitvA,skand,gerund,caus,,,skandayitvA,skand,,,,,gerund
skamBitvA,skamB,gerund,,,,skamBitvA,skamB,,,,,gerund
sKalayitvA,sKal,gerund,caus,,,sKalayitvA,sKal,,,,,gerund
sKalitvA,sKal,gerund,,,,sKalitvA,sKal,,,,,gerund
sKAlayitvA,sKal,gerund,caus,,,sKAlayitvA,sKal,,,,,gerund
stanitvA,stan,gerund,,,,stanitvA,stan,,,,,gerund
stabDvA,stamB,gerund,,,,stabDvA,stamB,,,,,gerund
stamBayitvA,stamB,gerund,caus,,,stamBayitvA,stamB,,,,,gerund
stamBitvA,stamB,gerund,,,,stamBitvA,stamB,,,,,gerund
stAvayitvA,stu,gerund,caus,,,stAvayitvA,stu,,,,,gerund
stIrtvA,stF,gerund,,,,stIrtvA,stF,,,,,gerund
stutvA,stu,gerund,,,,stutvA,stu,,,,,gerund
stubDvA,stuB,gerund,,,,stubDvA,stuB,,,,,gerund
stuBitvA,stuB,gerund,,,,stuBitvA,stuB,,,,,gerund
stftvA,stF,gerund,,,,stftvA,stF,,,,,gerund
stenayitvA,stena,gerund,,,,stenayitvA,stena,,,,,gerund
stoBitvA,stuB,gerund,,,,stoBitvA,stuB,,,,,gerund
styAtvA,styA,gerund,,,,styAtvA,styA,,,,,gerund
sTagayitvA,sTaga,gerund,,,,sTagayitvA,sTaga,,,,,gerund
sTApayitvA,sTA#1,gerund,caus,,,sTApayitvA,sTA#1,,,,,gerund
sTitvA,sTA#1,gerund,,,,sTitvA,sTA#1,,,,,gerund
snAtvA,snA,gerund,,,,snAtvA,snA,,,,,gerund
snigDvA,snih#1,gerund,,,,snigDvA,snih#1,,,,,gerund
snihitvA,snih#1,gerund,,,,snihitvA,snih#1,,,,,gerund
snIQvA,snih#1,gerund,,,,snIQvA,snih#1,,,,,gerund
snugDvA,snuh#1,gerund,,,,snugDvA,snuh#1,,,,,gerund
snutvA,snu,gerund,,,,snutvA,snu,,,,,gerund
snuhitvA,snuh#1,gerund,,,,snuhitvA,snuh#1,,,,,gerund
snUQvA,snuh#1,gerund,,,,snUQvA,snuh#1,,,,,gerund
snehayitvA,snih#1,gerund,caus,,,snehayitvA,snih#1,,,,,gerund
snehitvA,snih#1,gerund,,,,snehitvA,snih#1,,,,,gerund
snohitvA,snuh#1,gerund,,,,snohitvA,snuh#1,,,,,gerund
spandayitvA,spand,gerund,caus,,,spandayitvA,spand,,,,,gerund
spanditvA,spand,gerund,,,,spanditvA,spand,,,,,gerund
sparDitvA,sparD,gerund,,,,sparDitvA,sparD,,,,,gerund
spASayitvA,spaS#1,gerund,caus,,,spASayitvA,spaS#1,,,,,gerund
spfzwvA,spfS#1,gerund,,,,spfzwvA,spfS#1,,,,,gerund
spfhayitvA,spfh,gerund,,,,spfhayitvA,spfh,,,,,gerund
sPaltvA,sPal,gerund,,,,sPaltvA,sPal,,,,,gerund
sPItvA,sPA,gerund,,,,sPItvA,sPA,,,,,gerund
sPuwitvA,sPuw,gerund,,,,sPuwitvA,sPuw,,,,,gerund
sPuritvA,sPur,gerund,,,,sPuritvA,sPur,,,,,gerund
sPowitvA,sPuw,gerund,,,,sPowitvA,sPuw,,,,,gerund
sPoritvA,sPur,gerund,,,,sPoritvA,sPur,,,,,gerund
smAyayitvA,smi,gerund,caus,,,smAyayitvA,smi,,,,,gerund
smArayitvA,smf,gerund,caus,,,smArayitvA,smf,,,,,gerund
smitvA,smi,gerund,,,,smitvA,smi,,,,,gerund
smftvA,smf,gerund,,,,smftvA,smf,,,,,gerund
syattvA,syand,gerund,,,,syattvA,syand,,,,,gerund
syanttvA,syand,gerund,,,,syanttvA,syand,,,,,gerund
syUtvA,sIv,gerund,,,,syUtvA,sIv,,,,,gerund
sraMsitvA,sraMs,gerund,,,,sraMsitvA,sraMs,,,,,gerund
sraMstvA,sraMs,gerund,,,,sraMstvA,sraMs,,,,,gerund
srAvayitvA,sru,gerund,caus,,,srAvayitvA,sru,,,,,gerund
srutvA,sru,gerund,,,,srutvA,sru,,,,,gerund
svaYjayitvA,svaYj,gerund,caus,,,svaYjayitvA,svaYj,,,,,gerund
svaYjitvA,svaYj,gerund,,,,svaYjitvA,svaYj,,,,,gerund
svaditvA,svad,gerund,,,,svaditvA,svad,,,,,gerund
svanayitvA,svan,gerund,caus,,,svanayitvA,svan,,,,,gerund
svanitvA,svan,gerund,,,,svanitvA,svan,,,,,gerund
svaritvA,svar#1,gerund,,,,svaritvA,svar#1,,,,,gerund
svartvA,svar#2,gerund,,,,svartvA,svar#2,,,,,gerund
svalpaSilAyitvA,svalpaSilA,gerund,,,,svalpaSilAyitvA,svalpaSilA,,,,,gerund
svAdayitvA,svad,gerund,caus,,,svAdayitvA,svad,,,,,gerund
svittvA,svid#2,gerund,,,,svittvA,svid#2,,,,,gerund
svedayitvA,svid#2,gerund,caus,,,svedayitvA,svid#2,,,,,gerund
hawWvA,haW,gerund,,,,hawWvA,haW,,,,,gerund
hattvA,had,gerund,,,,hattvA,had,,,,,gerund
hatvA,han#1,gerund,,,,hatvA,han#1,,,,,gerund
harzayitvA,hfz,gerund,caus,,,harzayitvA,hfz,,,,,gerund
harzitvA,hfz,gerund,,,,harzitvA,hfz,,,,,gerund
hasitvA,has,gerund,,,,hasitvA,has,,,,,gerund
hAtvA,hA#1,gerund,,,,hAtvA,hA#1,,,,,gerund
hAtvA,hA#2,gerund,,,,hAtvA,hA#2,,,,,gerund
hArayitvA,hf#1,gerund,caus,,,hArayitvA,hf#1,,,,,gerund
hAsayitvA,has,gerund,caus,,,hAsayitvA,has,,,,,gerund
hiMsitvA,hiMs,gerund,,,,hiMsitvA,hiMs,,,,,gerund
hikkitvA,hikk,gerund,,,,hikkitvA,hikk,,,,,gerund
hitvA,hi#2,gerund,,,,hitvA,hi#2,,,,,gerund
hitvA,DA#1,gerund,,,,hitvA,DA#1,,,,,gerund
hItvA,hA#1,gerund,,,,hItvA,hA#1,,,,,gerund
huRqitvA,huRq,gerund,,,,huRqitvA,huRq,,,,,gerund
hutvA,hu,gerund,,,,hutvA,hu,,,,,gerund
hUtvA,hU,gerund,,,,hUtvA,hU,,,,,gerund
hftvA,hf#1,gerund,,,,hftvA,hf#1,,,,,gerund
hfzwvA,hfz,gerund,,,,hfzwvA,hfz,,,,,gerund
hnUtvA,hnu,gerund,,,,hnUtvA,hnu,,,,,gerund
hrasitvA,hras,gerund,,,,hrasitvA,hras,,,,,gerund
hrAdayitvA,hrAd,gerund,caus,,,hrAdayitvA,hrAd,,,,,gerund
hrAditvA,hrAd,gerund,,,,hrAditvA,hrAd,,,,,gerund
hrAsayitvA,hras,gerund,caus,,,hrAsayitvA,hras,,,,,gerund
hrItvA,hrI#1,gerund,,,,hrItvA,hrI#1,,,,,gerund
hrepayitvA,hrI#1,gerund,caus,,,hrepayitvA,hrI#1,,,,,gerund
hlAdayitvA,hlAd,gerund,caus,,,hlAdayitvA,hlAd,,,,,gerund
hlAditvA,hlAd,gerund,,,,hlAditvA,hlAd,,,,,gerund
hvalitvA,hval,gerund,,,,hvalitvA,hval,,,,,gerund
hvAyayitvA,hU,gerund,caus,,,hvAyayitvA,hU,,,,,gerund
